Индекс,Город,Улица,Дом
,Нижегородская обл. г.Нижний Новгород,ул.Прыгунова,д.7
,Нижегородская обл. г.Нижний Новгород,ул.Родионова,д.15 пом.П5
,Нижегородская обл. г.Нижний Новгород,ул.Родионова,д.189/24
,Нижегородская обл. г.Нижний Новгород,ул.Родионова,д.195
,Нижегородская обл. г.Нижний Новгород,ул.Рябцева,д.16
,Нижегородская обл. г.Нижний Новгород,ул.Рябцева,д.31
,Нижегородская обл. г.Нижний Новгород,ул.Рябцева,д.46
,Нижегородская обл. г.Нижний Новгород,ул.Саврасова,д.11А
,Нижегородская обл. г.Нижний Новгород,ул.Светлоярская,д.34
,Нижегородская обл. г.Нижний Новгород,ул.Сергея Акимова,д.51
,Нижегородская обл. г.Нижний Новгород,ул.Сергея Есенина,д.41 пом.П20
,Нижегородская обл. г.Нижний Новгород,ул.Сергея Есенина,д.41 пом.П24
,Нижегородская обл. г.Нижний Новгород,ул.Советской Армии,д.13А
,Нижегородская обл. г.Нижний Новгород,ул.Спутника,д.36 пом.П1
,Нижегородская обл. г.Нижний Новгород,ул.Станиславского,д.2 пом.П2
,Нижегородская обл. г.Нижний Новгород,ул.Страж Революции,д.29
,Нижегородская обл. г.Нижний Новгород,ул.Таганская,д.8 корп.2
,Нижегородская обл. г.Нижний Новгород,ул.Таллинская,д.7 пом.П1
,Нижегородская обл. г.Нижний Новгород,ул.Тимирязева,д.41
,Нижегородская обл. г.Нижний Новгород,ул.Тонкинская,д.11
,Нижегородская обл. г.Нижний Новгород,ул.Федосеенко,д.100
,Нижегородская обл. г.Нижний Новгород,ул.Федосеенко,д.31
,Нижегородская обл. г.Нижний Новгород,ул.Фруктовая,д.3/1
,Нижегородская обл. г.Нижний Новгород,ул.Циолковского,д.42
,Нижегородская обл. г.Нижний Новгород,ул.Чаадаева,д.22
,Нижегородская обл. г.Нижний Новгород,ул.Чаадаева,д.28Б
,Нижегородская обл. г.Нижний Новгород,ул.Чкалова,д.8А
,Нижегородская обл. г.Нижний Новгород,ул.Школьная,д.34
,Нижегородская обл. г.Нижний Новгород,ул.Электровозная,д.1 пом.П4
,Нижегородская обл. г.Нижний Новгород,ул.Янки Купалы,д.10А
,Нижегородская обл. г.Нижний Новгород,ул.Ярошенко,д.1
,Нижегородская обл. г.Нижний Новгород,ул.Ясная,д.31
,Нижегородская обл. г.Нижний Новгород,ул.Ясная,д.33
,Нижегородская обл. г.Нижний Новгород,ш.Казанское,д.17Б
,Нижегородская обл. г.Нижний Новгород,ш.Казанское,д.4
,Нижегородская обл. г.Нижний Новгород,ш.Казанское,д.5
,Нижегородская обл. г.Нижний Новгород,ш.Московское,д.11
,Нижегородская обл. г.Нижний Новгород,ш.Московское,д.12
,Нижегородская обл. г.Нижний Новгород,ш.Московское,д.191
,Нижегородская обл. г.Нижний Новгород,ш.Московское,д.213А
,Нижегородская обл. г.Нижний Новгород,ш.Московское,д.25
,Нижегородская обл. г.Нижний Новгород,ш.Южное,д.16А
,Нижегородская обл. г.Нижний Новгород,ш.Южное,д.28А пом.П6
,Нижегородская обл. г.Нижний Новгород,ш.Южное,д.30 корп.1
,Нижегородская обл. г.Нижний Новгород,ш.Южное,д.39 П1
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,пр-кт Молодежный,д.68 пом.1А
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Гордеевская,д.8
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Июльских Дней,д.1Д
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Космонавта Комарова,д.2Г
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Октябрьская,д.12 пом.П3
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Романтиков,д.19 пом.П7
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Чаадаева д.43,пом.П1
,Нижегородская обл. г.о.г.Нижний Новгород г.Нижний Новгород,ул.Чкалова,д.7 пом.П23
,Нижегородская обл. п.Новосмолинский,ул.Шоссейная,уч.10
,Нижегородская обл. д.Опалиха,Нижегородская обл. д.Опалиха,д.63А
,Нижегородская обл. г.Павлово,пер.Суворова,д.19
,Нижегородская обл. г.Павлово,ул.1-я Строителя,д.36В
,Нижегородская обл. г.Павлово,ул.Винокурова,д.83
,Нижегородская обл. г.Павлово,ул.Коммунистическая,д.49
,Нижегородская обл. г.Павлово,ул.Короленко,д.1
,Нижегородская обл. г.Павлово,ул.Ленина,д.7
,Нижегородская обл. г.Павлово,ул.Ломоносова,д.3А
,Нижегородская обл. г.Павлово,ул.Солнечная,д.22А
,Нижегородская обл. г.Павлово,ул.Фаворского,д.40
,Нижегородская обл. г.Павлово,ул.Фаворского,д.97А
,Нижегородская обл. г.Павлово,ул.Чкалова,д.12
,Нижегородская обл. д.Завалищи п.Винокурова,Нижегородская обл. д.Завалищи п.Винокурова,д.37А
,Нижегородская обл. рп.Первое Мая,ул.Садовая,д.33Б
,Нижегородская обл. г.Первомайск,пер.Пушкина,д.7
,Нижегородская обл. г.Первомайск,ул.Мочалина,д.12/1
,Нижегородская обл. г.о.Перевозский г.Перевоз,ул.Школьная,стр.12
,Нижегородская обл. г.Перевоз,ул.Советская,д.37
,Нижегородская обл. рп.Пижма,ул.Кирова,д.102А
,Нижегородская обл. рп.Пильна,ул.40 лет Победы,д.1Д
,Нижегородская обл. рп.Пильна,ул.Калинина,д.3 стр.4
,Нижегородская обл. с.Починки,пл.Ленина,д.24
,Нижегородская обл. с.Починки,ул.Луначарского,д.18
,Нижегородская обл. г.о.г.Дзержинск п.Пыра,ул.1 Мая,д.14
,Нижегородская обл. с.Работки,ул.Садовая,д.7В
,Нижегородская обл. г.о.г.Бор с.Редькино (Редькинский с/с),Нижегородская обл. г.о.г.Бор с.Редькино (Редькинский с/с),д.96А
,Нижегородская обл. рп.Решетиха,пр-кт Кирова,д.14
,Нижегородская обл. г.Саров,пр-кт Ленина,д.1 пом.В1
,Нижегородская обл. г.Саров,пр-кт Ленина,д.39
,Нижегородская обл. г.Саров,ул.Димитрова,д.20А
,Нижегородская обл. г.Саров,ул.Московская,д.3
,Нижегородская обл. г.Саров,ул.Садовая,д.66 к.3
,Нижегородская обл. г.Саров,ул.Чапаева,д.9
,Нижегородская обл. ЗАТО г.о.г.Саров г.Саров,ул.Зернова,д.42 пом.2
,Нижегородская обл. г.Семенов,ул.50 лет Октября,д.23А
,Нижегородская обл. г.Семенов,ул.Гражданская,д.26
,Нижегородская обл. г.Семенов,ул.Ленина,д.15
,Нижегородская обл. г.Семенов,ул.Спортивная,д.73
,Нижегородская обл. г.Сергач,п.Молодежный,д.1А
,Нижегородская обл. г.Сергач,ул.Выездная,д.9А
,Нижегородская обл. г.Сергач,ул.Гусева,д.72А
,Нижегородская обл. г.Сергач,ул.Казакова,д.9
,Нижегородская обл. г.Сергач,ул.Калинина,д.29
,Нижегородская обл. м.о.Сергачский г.Сергач,ул.Советская,д.27 пом.П1
,Нижегородская обл. с.Сеченово,пл.Советская,д.1
,Нижегородская обл. с.Сеченово,ул.Советская,д.19Ж
,Нижегородская обл. м.р-н Володарский г.п.рп.Смолино рп.Смолино,ул.Бубнова,д.5А
,Нижегородская обл. рп.Сокольское,ул.Калинина,д.6
,Нижегородская обл. рп.Сосновское,ул.Ленина,д.36
,Нижегородская обл. рп.Сосновское,ул.Рабочая,д.22
,Нижегородская обл. с.Спасское,ул.Октябрьская,д.94
,Нижегородская обл. рп.Сухобезводное,ул.Горького,д.39
,Нижегородская обл. рп.Сява,ул.Кирова,д.25
,Нижегородская обл. рп.Тонкино,ул.Коммунистическая,д.1
,Нижегородская обл. рп.Тоншаево,ул.Центральная,д.21А
,Нижегородская обл. м.о.Павловский рп.Тумботино,ул.Кирова,д.52А
,Нижегородская обл. м.о.Павловский рп.Тумботино,ул.Пушкина,д.1 пом.5
,Нижегородская обл. рп.Тумботино,ул.Пролетарская,д.88А
,Нижегородская обл. с.Уразовка,ул.Кооперативная,д.34
,Нижегородская обл. г.Урень,ул.Брагина,д.15
,Нижегородская обл. г.Урень,ул.Индустриальная,д.3А
,Нижегородская обл. г.Урень,ул.Ленина,д.99
,Нижегородская обл. г.Урень,ул.Механизаторов,д.35
,Нижегородская обл. с.Хмелевицы,ул.Центральная,д.30
,Нижегородская обл. г.Чкаловск,кв-л Ломоносова,д.1А
,Нижегородская обл. г.Чкаловск,ул.Белинского,д.31
,Нижегородская обл. г.Чкаловск,ул.Комсомольская,д.29
,Нижегородская обл. г.Чкаловск,ул.Пушкина,д.49
,Нижегородская обл. рп.Шаранга,ул.Кольцова,д.24
,Нижегородская обл. рп.Шатки,ул.1 Мая,д.97
,Нижегородская обл. рп.Шатки,ул.Центральная,д.45
,Нижегородская обл. г.Шахунья,ул.Гагарина,д.3
,Нижегородская обл. г.Шахунья,ул.Коминтерна,д.34
,Нижегородская обл. г.Шахунья,ул.Комсомольская,д.72
,Нижегородская обл. г.Шахунья,ул.Свердлова,д.7
,Нижегородская обл. г.Шахунья,ул.Советская,д.48
,Нижегородская обл. г.Выкса рп.Шиморское,ул.Калинина,д.93А
,Нижегородская обл. с.Ямново,ул.Школьная,д.17
,Новосибирская обл. м.р-н Барабинский г.п.г.Барабинск г.Барабинск,ул.Маслова,д.8
,Новосибирская обл. с.Барышево,ул.Ленина,д.208
,Новосибирская обл. г.Бердск,ул.Ленина,д.90
,Новосибирская обл. г.Бердск,ул.Первомайская,д.11
,Новосибирская обл. г.Бердск,ул.Первомайская,д.133
,Новосибирская обл. г.о.г.Бердск г.Бердск,ул.Ключевая,зд.58
,Новосибирская обл. г.о.г.Бердск г.Бердск,ул.Попова,зд.1А пом.12
,Новосибирская обл. г.о.г.Бердск г.Бердск,ул.Пролетарская,д.39
,Новосибирская обл. г.Искитим,ул.Пушкина,д.91
,Новосибирская обл. г.Искитим,ул.Советская,д.220
,Новосибирская обл. г.о.г.Искитим г.Искитим,мкр.Южный,д.16
,Новосибирская обл. м.р-н Карасукский г.п.г.Карасук г.Карасук,ул.Ленина,д.110
,Новосибирская обл. м.р-н Карасукский г.п.г.Карасук г.Карасук,ул.Сударева,д.2Б
,Новосибирская обл. м.р-н Каргатский г.п.г.Каргат г.Каргат,ул.Советская,д.158 пом.1
,Новосибирская обл. м.р-н Колыванский г.п.рп.Колывань рп.Колывань,ул.Советская,д.57
,Новосибирская обл. м.р-н Колыванский г.п.рп.Колывань рп.Колывань,ул.Шоссейная,д.16
,Новосибирская обл. г.о.рп.Кольцово рп.Кольцово,ул.Вознесенская,д.3 пом.1-8
,Новосибирская обл. г.о.рп.Кольцово рп.Кольцово,ул.Центральная,д.5А
,Новосибирская обл. м.р-н Новосибирский г.п.рп.Краснообск рп.Краснообск,мкр.2,зд.260
,Новосибирская обл. м.р-н Новосибирский г.п.рп.Краснообск рп.Краснообск,мкр.3,д.15
,Новосибирская обл. м.р-н Куйбышевский г.п.г.Куйбышев г.Куйбышев,ул.Володарского,зд.1/3
,Новосибирская обл. м.р-н Куйбышевский г.п.г.Куйбышев г.Куйбышев,ул.Гуляева,д.15А
,Новосибирская обл. м.р-н Куйбышевский г.п.г.Куйбышев г.Куйбышев,ул.Шишкова,д.2
,Новосибирская обл. м.р-н Маслянинский г.п.рп.Маслянино рп.Маслянино,ул.Садовая,д.8А
,Новосибирская обл. рп.Мошково,ул.Вокзальная,д.8
,Новосибирская обл. м.р-н Новосибирский с.п.Новолуговской сельсовет с.Новолуговое,ул.Андреева,д.88
,Новосибирская обл. г.Новосибирск,ул.2-я Миргородская,д.3
,Новосибирская обл. г.Новосибирск,ул.Авиастроителей,д.6
,Новосибирская обл. г.Новосибирск,ул.Александра Чистякова,д.18
,Новосибирская обл. г.Новосибирск,ул.Балтийская,д.35
,Новосибирская обл. г.Новосибирск,ул.Большая,д.610
,Новосибирская обл. г.Новосибирск,ул.Большевистская,д.171
,Новосибирская обл. г.Новосибирск,ул.В.Высоцкого,д.39/5
,Новосибирская обл. г.Новосибирск,ул.Вилюйская,д.17
,Новосибирская обл. г.Новосибирск,ул.Героев Революции,д.21
,Новосибирская обл. г.Новосибирск,ул.Д.Донского,д.21/1
,Новосибирская обл. г.Новосибирск,ул.Дмитрия Шмонина,д.10/1
,Новосибирская обл. г.Новосибирск,ул.Дунаевского,д.3
,Новосибирская обл. г.Новосибирск,ул.Забалуева,д.88
,Новосибирская обл. г.Новосибирск,ул.Заречная,д.21
,Новосибирская обл. г.Новосибирск,ул.Заречная,д.4
,Новосибирская обл. г.Новосибирск,ул.Заречная,д.53
,Новосибирская обл. г.Новосибирск,ул.Кирова,д.236
,Новосибирская обл. г.Новосибирск,ул.Кочубея,д.4/1
,Новосибирская обл. г.Новосибирск,ул.Кубовая,д.40А
,Новосибирская обл. г.Новосибирск,ул.Ленинградская,д.273
,Новосибирская обл. г.Новосибирск,ул.Михаила Перевозчикова,д.9/38
,Новосибирская обл. г.Новосибирск,ул.Невельского,д.1/1
,Новосибирская обл. г.Новосибирск,ул.Николая Шипилова,зд.14/1
,Новосибирская обл. г.Новосибирск,ул.Объединения,д.59
,Новосибирская обл. г.Новосибирск,ул.Петухова,д.14Б
,Новосибирская обл. г.Новосибирск,ул.Петухова,д.16/5
,Новосибирская обл. г.Новосибирск,ул.Плахотного,д.74/1
,Новосибирская обл. г.Новосибирск,ул.Пролетарская,д.50
,Новосибирская обл. г.Новосибирск,ул.Станционная,д.46
,Новосибирская обл. г.Новосибирск,ул.Стартовая,д.1
,Новосибирская обл. г.Новосибирск,ул.Титова,д.252/2
,Новосибирская обл. г.Новосибирск,ул.Трикотажная,д.68
,Новосибирская обл. г.Новосибирск,ул.Фадеева,д.66/3
,Новосибирская обл. г.Новосибирск,ул.Фрунзе,д.53
,Новосибирская обл. г.Новосибирск,ул.Челюскинцев,д.46
,Новосибирская обл. г.Новосибирск,ш.Бердское,д.548
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,мкр.Горский,д.68
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,пр-кт Дзержинского,д.34/2
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,пр-кт Дзержинского,д.77
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,пр-кт Красный,д.218/2
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.1-я Механическая,д.10/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.1-я Шоссейная,д.58
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.2-я Портовая,д.7
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.25 лет Октября,зд.15
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.9-го Ноября,д.95
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Александра Ерёмина,д.18/6
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Аникина,д.16
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Богдана Хмельницкого,д.57
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Большая,д.594
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Бориса Богаткова,д.210/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Ватутина,д.11
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Виктора Шевелева,д.20
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Виктора Шевелева,д.34
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Вознесенская,д.1/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Волховская,д.33А
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Галущака,д.2А
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Герцена,д.6
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Гоголя,д.44
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Гурьевская,д.177/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Доватора,д.17
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Дуси Ковальчук,д.12
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Есенина,
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Есенина,д.67
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Зорге,д.129/4
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Зорге,д.18
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Зыряновская,д.34/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Коминтерна,д.124
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Котовского,д.20 пом.58П
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Котовского,д.2Б
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Кропоткина,д.203
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Кузьмы Минина,д.9/3
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Лескова,д.21 пом.6
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Лобачевского,зд.49
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Мира,д.27
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Народная,д.55
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Наумова,д.26
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Николая Островского,д.195 оф.2
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Первомайская,д.122
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Первомайская,д.188
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Петухова,д.62
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Петухова,д.99
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Планировочная,д.58А
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Рябиновая,д.14/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Светлановская,д.52/1 пом.1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Серафимовича,д.20
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Сибиряков-Гвардейцев,д.47
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Сибиряков-Гвардейцев,д.63
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Сухарная,д.109
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Толмачевская,д.15/1
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Троллейная,д.14
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Троллейная,д.21
,Новосибирская обл. г.о.г.Новосибирск г.Новосибирск,ул.Шевченко,д.25
,Новосибирская обл. г.о.г.Обь г.Обь,ул.Вокзальная,зд.46
,Новосибирская обл. г.о.г.Обь г.Обь,ул.ЖКО Аэропорта,д.23
,Новосибирская обл. г.о.г.Обь г.Обь,ул.Строительная,д.100
,Новосибирская обл. м.р-н Новосибирский с.п.Мочищенский сельсовет п.Озерный,мкр.Солнечный,д.333Б
,Новосибирская обл. м.р-н Мошковский с.п.Барлакский сельсовет п.Октябрьский,ул.Согласия,д.6
,Новосибирская обл. рп.Ордынское,пр-кт Ленина,д.13
,Новосибирская обл. м.р-н Новосибирский с.п.Станционный сельсовет п.Садовый,ул.Пасечная,д.14 к.2 пом.П2
,Новосибирская обл. м.р-н Татарский г.п.г.Татарск г.Татарск,ул.Ленина,д.62
,Новосибирская обл. м.р-н Чановский г.п.рп.Чаны рп.Чаны,ул.Победы,д.36/1
,Новосибирская обл. м.р-н Черепановский г.п.г.Черепаново г.Черепаново,ул.Интернациональная,д.1
,Новосибирская обл. м.р-н Новосибирский с.п.Мичуринский сельсовет п.Элитный,мкр.Березки,зд.7/4
,Новосибирская обл. п.Элитный,ул.Молодежная,д.21В/1
,Омск. обл. м.р-н Калачинский г.п.Калачинское г.Калачинск,ул.Вокзальная,д.37А
,Омск. обл. с.Красноярка,ул.Ленина,д.84
,Омск. обл. г.Омск,м.р-н Крутая Горка ул.В.А.Силина,д.1
,Омск. обл. г.Омск,мкр.Входной,д.28
,Омск. обл. г.Омск,пр-кт Карла Маркса,д.38
,Омск. обл. г.Омск,пр-кт Менделеева,д.10
,Омск. обл. г.Омск,проезд Лесной,д.11
,Омск. обл. г.Омск,ул.1-я Путевая,д.102
,Омск. обл. г.Омск,ул.1-я Трамвайная,д.1
,Омск. обл. г.Омск,ул.2-я Солнечная,д.26
,Омск. обл. г.Омск,ул.2-я Челюскинцев,д.11
,Омск. обл. г.Омск,ул.22 Партсъезда,д.5
,Омск. обл. г.Омск,ул.50 лет Профсоюзов,д.113
,Омск. обл. г.Омск,ул.6-я Станционная,д.147/4
,Омск. обл. г.Омск,ул.Ангарская,д.1
,Омск. обл. г.Омск,ул.Арктическая,д.23
,Омск. обл. г.Омск,ул.Волховстроя,д.5А
,Омск. обл. г.Омск,ул.Гашека,д.26
,Омск. обл. г.Омск,ул.Герцена,д.240
,Омск. обл. г.Омск,ул.Гуртьева,д.25
,Омск. обл. г.Омск,ул.Завертяева,д.23
,Омск. обл. г.Омск,ул.Завертяева,д.7
,Омск. обл. г.Омск,ул.Заозерная,д.22
,Омск. обл. г.Омск,ул.Комкова,д.1Д
,Омск. обл. г.Омск,ул.Мельничная,д.87 корп.1
,Омск. обл. г.Омск,ул.Нефтезаводская,д.37
,Омск. обл. г.Омск,ул.Омская,д.121
,Омск. обл. м.р-н Черлакский г.п.Черлакское рп.Черлак,ул.Ленина,д.110
,Орлов. обл. пгт.Глазуновка,ул.Полевая,д.5
,Орлов. обл. г.Дмитровск,ул.Советская,д.75
,Орлов. обл. пгт.Змиёвка,ул.Чапаева,д.2
,Орлов. обл. г.Ливны,ул.Дружбы Народов,д.96
,Орлов. обл. г.Ливны,ул.Максима Горького,д.2
,Орлов. обл. г.Мценск,ул.Мира,д.39 пом.4
,Орлов. обл. г.Мценск,ул.Тургенева,д.135
,Орлов. обл. г.Мценск,ул.Тургенева,д.87
,Орлов. обл. пгт.Нарышкино,ул.Привокзальная,д.10
,Орлов. обл. г.Орёл,ул.5 Августа,д.19
,Орлов. обл. г.Орёл,ул.Комсомольская,д.247А 
,Орлов. обл. г.Орёл,ул.Кукушкина,д.1
,Орлов. обл. г.Орёл,ул.Максима Горького,д.65
,Орлов. обл. г.Орёл,ул.Машкарина,д.20Б
,Орлов. обл. г.Орёл,ул.Металлургов,д.16
,Орлов. обл. г.Орёл,ул.Привокзальная,д.6
,Орлов. обл. г.Орёл,ул.Раздольная,д.66А
,Орлов. обл. г.Орёл,ул.Раздольная,д.82Б
,Орлов. обл. г.Орёл,ул.Саханская,д.8
,Орлов. обл. г.Орёл,ул.Советская,д.30
,Орлов. обл. г.Орёл,ш.Карачевское,д.6
,Орлов. обл. г.Орёл,ш.Московское,д.153Г
,Пензенская обл. рп.Беково,пл.Базарная,д.11
,Пензенская обл. рп.Беково,ул.Почтовая,д.55И
,Пензенская обл. г.Белинский,пл.Комсомольская,д.2
,Пензенская обл. с.Бессоновка,ул.Центральная,д.115
,Пензенская обл. с.Бессоновка,ул.Центральная,д.259-3
,Пензенская обл. с.Богословка,ул.Дорожная,д.1-1 
,Пензенская обл. с.Большой Вьяс,ул.Базарная,д.34
,Пензенская обл. с.Вадинск,ул.Школьная,д.2
,Пензенская обл. с.Вазерки,ул.Басулина,д.235А
,Пензенская обл. с.Верхний Ломов,пл.Советская,д.12
,Пензенская обл. г.Городище,ул.Александра Матросова,д.128Г
,Пензенская обл. г.Городище,ул.Московская,д.90
,Пензенская обл. м.р-н Бессоновский с.п.Грабовский сельсовет с.Грабово,ул.Советская,д.73В
,Пензенская обл. с.Грабово,ул.Шоссейная,д.2
,Пензенская обл. г.Заречный,пр-кт 30-летия Победы,д.19
,Пензенская обл. г.Заречный,ул.Заречная,д.12А
,Пензенская обл. г.Заречный,ул.Заречная,д.28
,Пензенская обл. г.Заречный,ул.Зеленая,д.10И
,Пензенская обл. г.Заречный,ул.Озерская,д.20 к.2
,Пензенская обл. г.Заречный,ул.Озерская,д.2а
,Пензенская обл. с.Засечное,б-р Прибрежный,д.3
,Пензенская обл. с.Засечное,ул.Заречная,д.30
,Пензенская обл. с.Засечное,ул.Олимпийская,д.15
,Пензенская обл. с.Засечное,ул.Центральная,д.7
,Пензенская обл. рп.Земетчино,пл.Ленина,д.37
,Пензенская обл. рп.Земетчино,пл.Привокзальная,д.6
,Пензенская обл. рп.Исса,ул.Черокманова,д.11
,Пензенская обл. г.Каменка,ул.Баумана,д.38А
,Пензенская обл. г.Каменка,ул.Белинская,д.7
,Пензенская обл. г.Каменка,ул.Советская,д.85
,Пензенская обл. г.Каменка,ул.Суворова,д.24А
,Пензенская обл. г.Каменка,ул.Центральная,д.1А
,Пензенская обл. г.Каменка,ул.Чкалова,д.19Б
,Пензенская обл. с.Кижеватово,ул.Большая дорога,д.96А
,Пензенская обл. рп.Колышлей,ул.Советская,д.24
,Пензенская обл. рп.Колышлей,ул.Терешкина,д.21
,Пензенская обл. м.р-н Пензенский с.п.Кондольский сельсовет с.Кондоль,ул.Осипова,д.11 пом.5
,Пензенская обл. г.Кузнецк,ул.Белинского,д.4Б
,Пензенская обл. г.Кузнецк,ул.Белинского,д.68А
,Пензенская обл. г.Кузнецк,ул.Кирова,д.190
,Пензенская обл. г.Кузнецк,ул.Леваневского,д.46
,Пензенская обл. г.Кузнецк,ул.Пензенская,д.130
,Пензенская обл. г.Кузнецк,ул.Пензенская,д.50А
,Пензенская обл. г.Кузнецк,ул.Пригородная,д.85Б
,Пензенская обл. г.Кузнецк,ул.Рабочая,д.231
,Пензенская обл. г.Кузнецк,ул.Радищева,д.7
,Пензенская обл. г.Кузнецк,ул.Стекловская,д.55 пом.33
,Пензенская обл. г.Кузнецк,ул.Хвалынская,д.81
,Пензенская обл. г.о.г.Кузнецк г.Кузнецк,ул.Фабричная,зд.61А
,Пензенская обл. с.Лопатино,ул.Магистральная,д.1Б
,Пензенская обл. рп.Лунино,ул.Кооперативная,д.55
,Пензенская обл. рп.Лунино,ул.Советская,д.99
,Пензенская обл. рп.Лунино,ул.Юбилейная,д.33А
,Пензенская обл. с.Малая Сердоба,ул.Советская,д.15
,Пензенская обл. с.Махалино,ул.Куйбышевская,д.92А
,Пензенская обл. п.Мичуринский,ул.Сельская площадь,д.4
,Пензенская обл. рп.Мокшан,ул.Советская,д.6
,Пензенская обл. рп.Мокшан,ул.Энгельса,д.47
,Пензенская обл. с.Наровчат,ул.Дружинина,д.2
,Пензенская обл. с.Неверкино,ул.Куйбышева,д.22А
,Пензенская обл. г.Нижний Ломов,ул.Вокзальная,д.19
,Пензенская обл. г.Нижний Ломов,ул.Карла Либкнехта,д.181
,Пензенская обл. г.Нижний Ломов,ул.Карла Маркса,д.63
,Пензенская обл. г.Нижний Ломов,ул.Ленина,д.45
,Пензенская обл. г.Нижний Ломов,ул.Маяковского,д.6
,Пензенская обл. г.Нижний Ломов,ул.Московская,д.4
,Пензенская обл. г.Нижний Ломов,ул.Октябрьская,д.70
,Пензенская обл. г.Никольск,ул.Белинского,д.47А
,Пензенская обл. г.Никольск,ул.Л.Толстого,д.164А
,Пензенская обл. г.Никольск,ул.Ленина,д.135
,Пензенская обл. г.Никольск,ул.Ленина,д.137Б
,Пензенская обл. г.Никольск,ул.Пугачевская,д.3Б
